gene	log2FC	p	padj	n
AKAP8	0.0430436568615442	0.516946861705792	0.93899561275103	12
AKAP8L	0.0418474441904825	0.638945118132571	0.950347250695361	12
AKAP9	0.11301754965896	0.508728763979314	0.936600769703534	12
AKIP1	0.0348722047074962	0.67226159661295	0.952774103197234	12
AKIRIN1	0.0298025378418399	0.467426896448782	0.933184723622753	12
AKIRIN2	-0.0684235181094196	0.218812336889479	0.905994515401443	12
AKNA	-0.142448061618676	0.183935857253655	0.903197575322248	12
AKR1A1	-0.0197795621241665	0.804292329933256	0.971955843507531	12
AKR1B1	0.00819923258032693	0.917851811604089	0.988934808985314	12
AKR1B10	0.110832930001416	0.540567868436005	0.941731272426651	12
AKR1C1	-0.0294826656695068	0.804676922620975	0.972069221064828	12
AKR1C2	-0.0496879909702967	0.648132233037077	0.951690499723663	12
AKR1C3	-0.0490596860511042	0.62296280870285	0.949954181497309	12
AKR7A2	-0.0506570577520865	0.637193765914873	0.949954181497309	12
AKR7A3	0.0168532953536198	0.949389700272731	0.990867432093713	12
AKR7L	0.281708237771525	0.298677414974721	0.914321442283517	12
AKT1	-0.110735185493527	0.0156723893210238	0.614528044716692	12
AKT1S1	-0.14166744375956	0.0851012016288732	0.840268134942536	12
AKT2	-0.0950205234516812	0.0238948760842671	0.667090320262909	12
AKT3	0.0157875809216601	0.855322762262328	0.980061700906343	12
AKTIP	-0.0239874021483917	0.682877932787164	0.953736311340302	12
ALAD	-0.0331331154667493	0.610530320894466	0.949806308078425	12
ALAS1	-0.0565622691329084	0.433082633445092	0.931174362355899	12
ALB	0.416488768309812	0.70332118402799	0.959461811264292	12
ALCAM	0.0791888729263195	0.440209313878397	0.931174362355899	12
ALDH16A1	-0.129789446776432	0.197028791505533	0.905994515401443	12
ALDH18A1	-0.0542131301423692	0.34413211117626	0.920065355159794	12
ALDH1A1	0.111387526025692	0.493217300082266	0.934600726287163	12
ALDH1A2	-0.0139632177517299	0.844505582084432	0.977873476562657	12
ALDH1A3	0.18039661060386	0.12239907920641	0.875684327181133	12
ALDH1B1	0.00348967061186859	0.961229209806632	0.993612257918742	12
ALDH1L1	-0.0132729310740763	0.965640317884188	0.994269228912912	12
ALDH1L2	0.123174665412829	0.462413618955051	0.932675051262044	12
ALDH2	-0.0617036034397523	0.40902338531307	0.926784168649852	12
ALDH3A2	-0.00725060276477893	0.881955616807615	0.984442629005518	12
ALDH3B1	-0.0956468773371746	0.308198500466427	0.914321442283517	12
ALDH4A1	-0.186897110360698	0.0521121682186345	0.792559314960706	12
ALDH5A1	0.0608774358536436	0.61122315540091	0.949806308078425	12
ALDH6A1	0.212578293914821	0.113951777377126	0.869100583142593	12
ALDH7A1	-0.0770986568137503	0.387252902236117	0.923966641877276	12
ALDH9A1	0.0730371095696274	0.153309319344852	0.885032331995209	12
ALDOA	-0.105958350233952	0.264488258698026	0.912411198058034	12
ALDOB	0.715500261020535	0.730804989999222	0.963579487697933	12
ALDOC	0.124464236581091	0.659547629807427	0.951779770421999	12
ALG1	-0.0552435860308334	0.533283631084694	0.941220728597349	12
ALG10	0.148464524357163	0.436937345239721	0.931174362355899	12
ALG10B	0.284858741036415	0.161402063107116	0.888663170544696	12
ALG11	0.204116618887796	0.0636608740771186	0.810135107082037	12
ALG12	-0.0374121060696281	0.635731257300664	0.949954181497309	12
ALG13	0.0294756570509047	0.657947760420991	0.951690499723663	12
ALG14	-0.0304293781422094	0.758926731523249	0.966712336877529	12
ALG2	0.0353981452249422	0.640385356394258	0.950390636083446	12
ALG3	-0.00395713397884438	0.968920292494523	0.994757885521117	12
ALG5	0.156631836825534	0.131066106741023	0.883296665796862	12
ALG6	0.260233980573735	0.0154766703353709	0.614137541334316	12
ALG8	0.0497329089098202	0.493923514813021	0.934600726287163	12
ALG9	0.0414578982699007	0.502424917933811	0.935552120797633	12
ALKBH1	-0.0545630374638246	0.587997366728993	0.946117165860217	12
ALKBH2	0.0717046490759995	0.572575031559783	0.945398950212572	12
ALKBH3	-0.0536850205059191	0.555743876196716	0.945264835526615	12
ALKBH4	0.026040650817913	0.818098510467902	0.974007744880719	12
ALKBH5	-0.0759652690132368	0.168401855826879	0.896611265789463	12
ALKBH6	-0.0500748041679851	0.682228138591607	0.953529084637606	12
ALKBH7	-0.0494672356559029	0.747368559508512	0.965247670763021	12
ALKBH8	0.0663235961745552	0.506762937421989	0.936600769703534	12
ALMS1	0.0263361030808788	0.891652299547715	0.985006155510019	12
ALOX5AP	0.0085696118982611	0.950466727793177	0.990950833451752	12
ALPK1	-0.00193507393645526	0.988248123827947	0.99832246327344	12
